"","FitPars","Lower","Default","Upper"
"w1",30,15,30,45
"w2",9,4.5,9,13.5
"t1",15.4,7.7,15.4,23.1
"t2",11.75,5.875,11.75,17.625
"t3",29.7,14.85,29.7,44.55
"t4",0.031,0.0155,0.031,0.0465
"c1",0.85,0.425,0.85,1.275
"c2",0.68,0.34,0.68,1.02
"k_active",0.02,0.01,0.02,0.03
"k_slow",5e-04,0.00025,5e-04,0.00075
"k_passive",2e-05,1e-05,2e-05,3e-05
"slow_to_active",0.42,0.21,0.42,0.63
"slow_to_passive",0.03,0.015,0.03,0.045
"passive_to_active",0.45,0.225,0.45,0.675
"active_to_passive",0.004,0.002,0.004,0.006
"k_strlitter",0.1,0.05,0.1,0.15
"k_metlitter",0.045,0.0225,0.045,0.0675
"metlitter_to_active",0.45,0.225,0.45,0.675
"strlitter_to_active",0.5,0.25,0.5,0.75
"strlitter_to_slow",0.7,0.35,0.7,1.05
"LigFrac",0.2,0.1,0.2,0.3
